Name,Party,Year,State,District,Incumbent,Winner,Raised,Spent,Cash on Hand,Individual Contributions,Small Individual Contributions,Large Individual Contributions,PAC Contributions,Candidate self-financing,Other,Full Disclosure,Incomplete Disclosure,No Disclosure
Lorna Phillipson,D,2016,NJ,04,False,False,250534,192637,19,,9899,232505,0,8129,0,140330,0,0
Scott Garrett,R,2016,NJ,05,True,False,2411570,4303125,89867,,321166,1361675,746458,0,-17728,1109202,600,108374
Josh Gottheimer,D,2016,NJ,05,False,True,4782462,4703377,79085,,305753,3815369,654734,361,6246,3269130,35150,6450
Frank Pallone Jr.,D,2016,NJ,06,True,True,2409149,1873788,1039221,,19586,788915,1599233,0,1416,518611,0,0
Brent J Sonnek-Schmelz,R,2016,NJ,06,False,False,75774,75660,115,,7840,62176,4440,1329,-10,62173,0,1300
Leonard Lance,R,2016,NJ,07,True,True,1118097,1276330,160242,,58319,366243,694660,0,-1125,319868,5750,30150
Peter Jacob,D,2016,NJ,07,False,False,320765,305886,14880,,208033,105223,6913,185,412,71373,0,750
Albio Sires,D,2016,NJ,08,True,True,633397,580647,290287,,1416,250962,382421,0,-1402,245399,4000,0
Bill Pascrell Jr.,D,2016,NJ,09,True,True,1674633,1301341,1335035,,18836,768596,952078,0,-64877,721483,8450,37010
Hector Castillo,R,2016,NJ,09,False,False,99779,99779,0,,0,21654,0,78097,28,21375,300,279
Donald M Payne Jr.,D,2016,NJ,10,True,True,533521,487111,77031,,10952,129250,399730,0,-6411,115375,5300,8800
Rodney Frelinghuysen,R,2016,NJ,11,True,True,1991920,1669366,470316,,68948,941883,924020,0,57069,951632,6950,41250
Bonnie Watson Coleman,D,2016,NJ,12,True,True,1095676,1024307,79013,,103290,458706,539425,0,-5745,211758,0,9560
Michelle Lujan Grisham,D,2016,NM,01,True,True,1776951,1929898,30505,,99401,905281,814675,0,-42406,537006,1500,500
Steve Pearce,R,2016,NM,02,True,True,1840393,955856,1272289,,77376,1287805,487212,0,-12000,1228607,500,1000
Merrie Lee Soules,D,2016,NM,02,False,False,439123,387292,2457,,45445,231778,6000,0,155900,103312,500,3250
Ben Ray Lujan,D,2016,NM,03,True,True,2107713,1874691,803411,,77704,608155,1422505,0,-651,241462,1000,454
Mike Romero,R,2016,NM,03,False,False,96566,96566,-1,,13275,48043,0,30662,4586,40487,500,20006
Charles E Schumer,D,2016,NY,S2,True,True,24865827,24381064,10676815,,400548,18429829,4641564,0,1393877,18152356,13000,68326
Wendy Long,R,2016,NY,S2,False,False,735914,666434,69667,,481142,208173,7000,34096,5501,271545,7350,65364
Alex Merced,L,2016,NY,S2,False,False,14461,14459,0,,9687,2774,2000,0,0,2235,250,0
Robin Laverne Wilson,3,2016,NY,S2,False,False,8489,6819,1668,,5174,2301,0,0,1014,1747,0,0
Lee Zeldin,R,2016,NY,01,True,True,4405395,4079226,373088,,402825,2419651,1302267,0,280652,2526519,16850,102453
Anna Throne-Holst,D,2016,NY,01,False,False,3872459,3843710,28749,,491377,2973496,419673,0,-12087,1075985,22217,15950
Pete King,R,2016,NY,02,True,True,1063928,1307660,2668112,,85048,475794,488600,0,14486,466774,4100,2700
DuWayne Gregory,D,2016,NY,02,False,False,376229,372792,3437,,89554,199979,86825,0,-129,107425,1500,2125
Tom Suozzi,D,2016,NY,03,False,True,2395911,2355509,40402,,63174,1960341,353880,0,18515,1936815,12300,21000
Jack Martins,R,2016,NY,03,False,False,1167870,1137082,30788,,56522,837523,270600,0,3225,744721,27400,57450
Kathleen Rice,D,2016,NY,04,True,True,2080991,1623818,486128,,74217,1316232,598540,0,92002,1298205,9150,4200
David Gurfein,R,2016,NY,04,False,False,439945,434772,5173,,21064,414087,10625,5388,-11219,483335,1125,40300
Gregory W Meeks,D,2016,NY,05,True,True,987168,1028994,123601,,5620,220977,759300,0,1270,183477,750,2750
Michael O'Reilly,R,2016,NY,05,False,False,47458,44038,-11036,,10513,25090,0,11855,0,24990,100,0
Grace Meng,D,2016,NY,06,True,True,1254504,826310,1067950,,42452,933853,279250,0,-1050,837853,14750,19350
Nydia Velazquez,D,2016,NY,07,True,True,771209,942003,68927,,19414,296796,455000,0,0,165243,2500,750
Hakeem Jeffries,D,2016,NY,08,True,True,1287260,784019,1011605,,16502,704373,566065,0,320,654277,7400,1000
Yvette D Clarke,D,2016,NY,09,True,True,681231,714977,85192,,35041,174175,474525,0,-2510,159480,1100,250
Jerrold Nadler,D,2016,NY,10,True,True,1605567,1243308,683761,,36319,1045428,528820,0,-5000,1014838,19360,5750
Philip Rosenthal,R,2016,NY,10,False,False,74398,68903,5495,,6382,38081,2000,27934,0,37283,2000,0
Mikhail Itkis,I,2016,NY,10,False,False,2100,322,1778,,0,0,0,2100,0,0,0,0
Dan Donovan,R,2016,NY,11,True,True,1968168,1781804,186363,,100173,996023,799883,0,72088,897658,12350,148992
Richard Reichard,D,2016,NY,11,False,False,31149,30962,187,,11449,14350,6350,0,-1000,14350,0,0
Carolyn B Maloney,D,2016,NY,12,True,True,1689237,1708670,457518,,58867,833122,798320,0,-1072,734215,17414,41100
Adriano Espaillat,D,2016,NY,13,False,True,801285,709410,115105,,22115,617239,193435,0,-31504,567927,6875,20450
Scott Fenstermaker,I,2016,NY,13,False,False,28220,14083,6516,,630,3550,0,24040,0,3250,300,0
Joseph Crowley,D,2016,NY,14,True,True,2995004,3107073,1121356,,33950,688387,1650758,0,621909,1248566,9750,4050
Frank Spotorno,R,2016,NY,14,False,False,150000,95880,54120,,800,8750,0,140000,450,5850,0,2900
Jose E Serrano,D,2016,NY,15,True,True,276469,276836,42635,,3918,69351,203200,0,0,48200,0,0
Eliot Engel,D,2016,NY,16,True,True,1649420,1221951,701455,,9916,1135996,504508,0,-1000,1094786,3950,1360
Nita M Lowey,D,2016,NY,17,True,True,1705900,1255555,669718,,37897,1200304,471950,0,-4252,1071318,6275,18750
Sean Patrick Maloney,D,2016,NY,18,True,True,3568008,1930205,1743546,,152171,2265164,1134498,0,16175,1760052,15500,6434
Phil Oliva,R,2016,NY,18,False,False,224658,224131,527,,21468,185869,17320,0,1,181168,400,1600
Zephyr Teachout,D,2016,NY,19,False,False,5012422,4978026,34396,,2621806,2051516,370567,0,-31467,474692,8450,10150
John Faso,R,2016,NY,19,False,True,3007518,2904089,103429,,146277,2291062,496156,5,74018,2258922,30300,65025
Paul Tonko,D,2016,NY,20,True,True,1154454,1018981,592171,,137270,307646,706291,0,3247,267140,400,0
Elise Stefanik,R,2016,NY,21,True,True,3130388,2610756,542189,,175750,1179773,1447545,0,327320,1514199,32790,67735
Mike Derrick,D,2016,NY,21,False,False,1236807,1229397,7410,,136555,930589,165470,0,4193,609627,250,950
Matt Funicello,3,2016,NY,21,False,False,15063,15013,100,,0,14563,0,0,500,4200,0,500
Martin Babinec,3,2016,NY,22,False,False,3012164,3012164,0,,3224,19050,0,2990000,-110,18050,0,1000
Kim Myers,D,2016,NY,22,False,False,1659858,1652888,6970,,97146,559903,447482,547692,7634,283881,0,16505
Claudia Tenney,R,2016,NY,22,False,True,968767,885895,87416,,68136,518538,319585,58000,4508,424962,24398,104450
David Matthew Pasick,L,2016,NY,22,False,False,406,31,125,,61,0,0,75,274,0,0,0
Tom Reed,R,2016,NY,23,True,True,3101846,3054275,133456,,107280,1133103,1847081,0,14382,1098897,5700,5485
John Plumb,D,2016,NY,23,False,False,1631137,1629318,1520,,289915,1024668,297755,11473,7327,655779,100,750
John Katko,R,2016,NY,24,True,True,2656070,2384152,285701,,131376,1000083,1422311,0,102300,1072194,7075,54975
Colleen Deacon,D,2016,NY,24,False,False,1483168,1478639,4519,,293864,836540,335529,0,17235,281761,100,4100
Louise M Slaughter,D,2016,NY,25,True,True,1409333,1602216,147460,,205813,496835,709207,2700,-5223,263867,500,1000
Brandon Kirshner,I,2016,NY,25,False,False,9727,8511,1216,,485,5642,0,3600,0,500,0,0
Brian M Higgins,D,2016,NY,26,True,True,791467,615881,796506,,47849,406933,336506,0,179,343205,250,55095
Chris Collins,R,2016,NY,27,True,True,670842,582459,699177,,230,386030,770455,0,-485873,350980,95,3230
Richard Burr,R,2016,NC,S2,True,True,12904555,10069504,235536,,513289,6541466,4268675,0,1581122,7955151,85500,67872
Deborah Ross,D,2016,NC,S2,False,False,14087276,14043959,43319,,4662301,8489917,656815,0,278240,4903663,27358,23905
G K Butterfield,D,2016,NC,01,True,True,1103963,847157,643896,,26418,166900,907831,0,2814,108000,0,7300
J.J. Summerell,L,2016,NC,01,False,False,21512,21726,0,,3655,15016,0,2841,0,10908,0,1108
H. Powell Dew,R,2016,NC,01,False,False,21148,21148,0,,2875,2820,50,14500,903,2450,0,470
George Holding,R,2016,NC,02,True,True,2695481,2708984,13479,,59725,1120183,1490245,0,25327,1295577,13900,3250
John McNeil,D,2016,NC,02,False,False,84616,83509,1107,,20015,36764,1000,23498,3339,34536,0,0
Walter B Jones Jr.,R,2016,NC,03,True,True,673186,693517,105144,,73110,357891,242200,0,-15,301836,16270,1800
David Price,D,2016,NC,04,True,True,785244,786090,215563,,77074,263789,445080,0,-700,260038,1500,1300
Sue Googe,R,2016,NC,04,False,False,115969,78678,34191,,18841,85388,0,11740,0,67988,1200,14200
Virginia Foxx,R,2016,NC,05,True,True,1578744,1203666,2411990,,70637,812753,682606,0,12748,738077,8160,59240
Mark Walker,R,2016,NC,06,True,True,865499,654708,225583,,37979,476961,374257,262,-23960,477306,5850,4055
Pete Glidewell,D,2016,NC,06,False,False,93573,91560,2013,,17678,72020,3800,75,0,46570,0,0
David Rouzer,R,2016,NC,07,True,True,1328535,725134,668129,,18506,541794,745366,0,22871,592732,300,285
J Wesley Casteen,D,2016,NC,07,False,False,14888,14887,0,,2515,13345,0,0,128,9558,0,0
Richard Hudson,R,2016,NC,08,True,True,2065162,2411377,92830,,41392,664966,1332615,0,26189,662615,11775,1500
Thomas Mills,D,2016,NC,08,False,False,406147,399170,6977,,84520,308085,1550,0,11992,212932,1000,4750
Robert Pittenger,R,2016,NC,09,True,True,1126358,1196306,4247,,8835,204122,568610,0,344791,615491,900,1750
Christian Cano,D,2016,NC,09,False,False,57345,56589,756,,2781,11616,0,42249,700,2262,0,0
Patrick McHenry,R,2016,NC,10,True,True,3192579,2636980,1395807,,25426,1085302,1703710,0,378142,1342438,13450,44650
Andy Millard,D,2016,NC,10,False,False,295850,287413,8268,,54990,202954,6500,100000,-68594,180205,9350,3375
Mark Meadows,R,2016,NC,11,True,True,530469,496717,208159,,112808,255144,283767,0,-121250,201084,4195,1625
Rick Bryson,D,2016,NC,11,False,False,45286,45286,0,,14686,16975,0,10840,2785,16525,0,150
Alma Adams,D,2016,NC,12,True,True,922093,837647,107538,,70920,234666,615303,0,1204,145053,150,850
Leon Threatt,R,2016,NC,12,False,False,41699,41628,98,,10144,26623,1000,2432,1500,25873,0,750
Ted Budd,R,2016,NC,13,False,True,594297,574705,19593,,53490,339248,167260,34000,300,287275,2000,1000
Bruce Davis,D,2016,NC,13,False,False,90899,75778,-30,,14866,51683,3750,0,20600,17090,0,11060
John Hoeven,R,2016,ND,S1,True,True,3797124,2786736,1822584,,145517,1530236,1737056,100000,284314,1639971,15500,78050
Eliot Glassheim,D,2016,ND,S1,False,False,21714,32793,-2723,,6604,10110,5000,0,0,10250,0,1250
Kevin Cramer,R,2016,ND,01,True,True,1405040,1030530,395408,,88758,446082,871500,0,-1300,441677,6700,35555
Chase Iron Eyes,D,2016,ND,01,False,False,225623,211051,14572,,134979,79146,14000,50,-2552,32120,0,7600
Rob Portman,R,2016,OH,S2,True,True,25428561,26534605,380564,,1283080,16457766,5792205,0,1895502,20262103,151795,370994
Ted Strickland,D,2016,OH,S2,False,False,10589191,10420055,169136,,2766850,6119108,904413,3150,795665,3735593,6060,17087
Thomas Connors,I,2016,OH,S2,False,False,103058,108048,696,,1720,300,0,101036,2,300,0,0
Joe Demare,3,2016,OH,S2,False,False,10950,10948,0,,4335,1831,0,2398,2386,1581,0,250
Steve Chabot,R,2016,OH,01,True,True,1012389,689473,963448,,56487,487247,473655,0,-5000,438676,4050,33920
Michele Young,D,2016,OH,01,False,False,245814,244709,1105,,21445,81500,19250,125369,-1750,31550,2000,4050
Brad Wenstrup,R,2016,OH,02,True,True,1134919,834052,568114,,92381,625781,401875,0,14882,630365,100,25365
Joyce Beatty,D,2016,OH,03,True,True,1166061,663196,861593,,39186,276053,850822,0,0,223357,3500,1660
Jim Jordan,R,2016,OH,04,True,True,732366,421917,1313688,,62992,307042,354896,0,7437,258106,3600,18700
Janet  Garrett,D,2016,OH,04,False,False,85523,78593,7559,,34999,34985,10793,2245,2500,32831,0,1
Bob Latta,R,2016,OH,05,True,True,1053339,757614,788604,,59643,363983,631672,0,-1959,357607,3550,0
Bill Johnson,R,2016,OH,06,True,True,1667713,1318594,685083,,22701,562655,1086950,2,-4595,521401,0,100050
Michael L. Lorentz,D,2016,OH,06,False,False,11889,4890,2572,,4339,6550,1000,0,0,2000,0,500
Bob Gibbs,R,2016,OH,07,True,True,899217,825785,940534,,19755,255341,624120,0,0,264175,3000,0
Roy Rich,D,2016,OH,07,False,False,7729,9073,0,,2889,1000,2450,809,580,1000,0,0
Warren Davidson,R,2016,OH,08,True,True,974240,863368,110872,,75063,423506,216209,259461,0,385013,11172,38229
Steven Fought,D,2016,OH,08,False,False,3691,3554,0,,100,2800,100,911,-220,2500,0,0
Marcy Kaptur,D,2016,OH,09,True,True,898034,700072,567207,,115769,194274,589693,0,-1703,172355,0,1600
Donald Larson,R,2016,OH,09,False,False,31384,31383,0,,3740,18320,874,8450,0,17670,0,8500
Michael R Turner,R,2016,OH,10,True,True,1050524,1170908,293255,,29313,496984,525290,79,-1143,471183,0,31300
Thomas Mcmasters,I,2016,OH,10,False,False,22086,22086,0,,0,8450,0,13635,0,0,0,0
Robert Klepinger,D,2016,OH,10,False,False,8435,8434,0,,1552,1700,1050,4081,3304,2200,0,0
Marcia Fudge,D,2016,OH,11,True,True,712648,611971,768523,,11740,63350,646738,0,-9179,57950,0,6400
Beverly A. Goldstein,R,2016,OH,11,False,False,22044,21620,424,,4750,16294,1000,0,0,14077,0,195
Pat Tiberi,R,2016,OH,12,True,True,4555939,1890368,5167554,,64546,1613807,2860606,0,16980,1580749,1300,300
Ed Albertson,D,2016,OH,12,False,False,28450,21877,6573,,13227,5210,2679,7308,25,5199,0,0
Tim Ryan,D,2016,OH,13,True,True,1024125,1243066,167182,,34920,447382,549909,0,-8086,420471,12300,2950
David P Joyce,R,2016,OH,14,True,True,2088216,1997677,365569,,30558,961016,1121867,0,-25225,938814,22450,0
Michael Wager,D,2016,OH,14,False,False,246239,242940,10488,,34085,191541,19800,913,-100,97218,1000,1950
Steve Stivers,R,2016,OH,15,True,True,2965260,2583803,1314600,,14136,1026003,1751371,0,173750,1147838,1000,0
Scott Wharton,D,2016,OH,15,False,False,39981,38131,2100,,5547,12734,1000,20500,200,4700,0,3250
Jim Renacci,R,2016,OH,16,True,True,2088873,1749738,624545,,32107,650519,1399418,0,6829,667115,0,0
Keith Mundy,D,2016,OH,16,False,False,13081,8433,4648,,9220,861,3000,0,0,361,500,0
James Lankford,R,2016,OK,S1,True,True,7243412,7108500,564738,,642813,4425337,2141836,0,33422,2104985,7325,25400
Sean Braddy,I,2016,OK,S1,False,False,12508,13241,134,,5878,6629,0,0,0,5366,0,450
James Bridenstine,R,2016,OK,01,True,True,922385,1132506,160186,,101956,535834,273386,0,11210,525132,3950,13200
David Hullum,I,2016,OK,01,False,False,4500,45,0,,0,0,0,4500,0,0,0,0
Markwayne Mullin,R,2016,OK,02,True,True,1506086,1537906,152334,,15994,545828,929300,0,14964,520294,21350,30550
Aaron Davies,I,2016,OK,02,False,False,1897,1783,114,,1438,200,0,177,83,0,0,0
Frank D Lucas,R,2016,OK,03,True,True,1182119,1068850,400287,,19870,285957,879592,0,-3299,179628,0,2427
Tom Cole,R,2016,OK,04,True,True,1804368,1525341,1262353,,35102,792281,967845,0,9139,606293,1500,46200
Steven Russell,R,2016,OK,05,True,True,865262,847193,29718,,21117,438341,406054,0,-250,382933,4550,41058
Al McAffrey,D,2016,OK,05,False,False,134,687,0,,0,0,0,134,0,43741,100,0
Ron Wyden,D,2016,OR,S2,True,True,12628463,9665648,3398289,,664664,6743507,4015220,0,1205069,7222565,33361,118750
Mark Callahan,R,2016,OR,S2,False,False,31671,28916,2283,,13853,13118,0,4699,1,6825,250,1000
Shanti Lewallen,3,2016,OR,S2,False,False,8612,8611,0,,2362,2250,0,0,4000,4500,0,0
Suzanne Bonamici,D,2016,OR,01,True,True,919183,885528,266028,,75282,382379,516909,0,-55387,308681,1000,500
Greg Walden,R,2016,OR,02,True,True,3275202,3288308,984154,,153046,892732,2112164,0,117261,901779,0,0
Earl Blumenauer,D,2016,OR,03,True,True,1495563,1120681,1029930,,69057,523684,909427,0,-6606,485839,1065,750
Peter DeFazio,D,2016,OR,04,True,True,1484774,868292,712929,,289706,342385,866224,0,-13541,200378,824,3300
Art Robinson,R,2016,OR,04,False,False,55852,46545,9885,,28967,34385,0,0,-7500,31100,364,1800
Kurt Schrader,D,2016,OR,05,True,True,1711097,1370554,1202171,,53079,448448,1342529,0,-132958,235098,0,750
Colm Willis,R,2016,OR,05,False,False,279932,277853,2079,,62902,179500,25450,11580,500,163730,8100,2019
Pat Toomey,R,2016,PA,S1,True,True,30841274,30910557,127390,,4879916,19102530,5877951,0,980865,17644071,204631,1678725
Katie McGinty,D,2016,PA,S1,False,False,16327757,16251111,76647,,3761372,10302841,1151096,0,1112444,6398810,18225,172580
Brandon Gene Hudock,I,2016,PA,S1,False,False,4835,2216,2618,,35,800,0,4000,0,600,0,0
Robert A. Brady,D,2016,PA,01,True,True,755407,722505,582375,,3916,381325,363900,0,6266,346325,2500,2250
Dwight Evans,D,2016,PA,02,False,True,1521148,1485393,35756,,78361,1078079,375535,0,-10826,745359,5500,5550
Mike Kelly,R,2016,PA,03,True,True,1611552,1007841,742102,,36742,608707,1123545,0,-157442,609507,16906,9016
Zachary Michael Nickerson,I,2016,PA,03,False,False,876,834,42,,240,0,0,636,0,0,0,0
Scott Perry,R,2016,PA,04,True,True,676746,612512,214906,,41453,265365,369850,0,78,255636,4750,4975
Glenn Thompson,R,2016,PA,05,True,True,1201255,1227714,284052,,68859,643701,468039,0,20656,621586,30851,7199
Kerith Strano Taylor,D,2016,PA,05,False,False,105296,107193,2967,,32612,70537,2000,147,0,58220,300,4964
Julian Subick,I,2016,PA,05,False,False,2134,2049,85,,1100,1309,0,25,-300,1308,0,0
Ryan Costello,R,2016,PA,06,True,True,2463529,2339160,246529,,22315,960930,1474599,0,5684,948203,1400,4250
Mike Parrish,D,2016,PA,06,False,False,391242,373422,21157,,57774,273378,44600,0,15490,223053,3000,13050
Patrick Meehan,R,2016,PA,07,True,True,2419636,2155483,1935356,,21229,836203,1552902,0,9302,821860,10950,3950
Mary Ellen Balchunis,D,2016,PA,07,False,False,201162,198954,2411,,51782,107417,38992,2878,94,90145,1475,8300
Steve Santarsiero,D,2016,PA,08,False,False,2792763,2778029,14734,,279180,1889946,616190,2950,4497,1464018,6650,7938
Brian Fitzpatrick,R,2016,PA,08,False,True,2154946,2009177,145769,,87178,1258004,817554,0,-7790,1218697,5200,29965
Bill Shuster,R,2016,PA,09,True,True,4081437,4271412,225323,,26404,1563470,2500330,0,-8767,1370618,400,112400
Art Halvorson,R,2016,PA,09,False,False,308098,244323,59306,,17297,97170,0,193630,0,58561,500,21540
Tom Marino,R,2016,PA,10,True,True,1093770,993525,183520,,51396,479027,563905,0,-558,497292,10600,7810
Michael Molesevich,D,2016,PA,10,False,False,71898,71898,0,,22729,34254,0,10147,4768,33504,750,0
Jerry Kairnes,I,2016,PA,10,False,False,1420,1115,305,,790,500,0,130,0,500,0,0
Lou Barletta,R,2016,PA,11,True,True,1309267,993761,402911,,144516,446602,710334,0,7816,436316,200,16413
Michael Marsicano,D,2016,PA,11,False,False,132489,123748,8741,,1650,20550,8000,102039,250,19250,0,1300
Keith J Rothfus,R,2016,PA,12,True,True,1734460,1651927,613672,,55705,992020,572844,0,113890,1031769,6900,79607
Erin McClelland,D,2016,PA,12,False,False,236418,244872,2113,,33061,159366,45000,1326,-2335,153065,3250,950
Brendan Boyle,D,2016,PA,13,True,True,1041155,994911,461467,,14715,349304,715500,0,-38364,347253,750,800
Mike Doyle,D,2016,PA,14,True,True,814619,808623,216528,,2946,148488,667012,0,-3827,126270,0,3500
Charlie Dent,R,2016,PA,15,True,True,1661203,1746125,852893,,35892,586829,1037405,0,1077,581744,5000,500
Rick Daugherty,D,2016,PA,15,False,False,22367,21560,844,,5199,8700,8250,218,0,6200,0,0
Lloyd Smucker,R,2016,PA,16,False,True,1487254,1453232,34022,,18071,540776,506473,354209,67725,561907,4600,43517
Christina Hartman,D,2016,PA,16,False,False,1186956,1147203,39753,,321994,555842,248774,0,60345,241120,10062,14750
Matt Cartwright,D,2016,PA,17,True,True,967024,859029,561069,,42160,463923,436072,25000,-130,357761,250,0
Matt Connolly,R,2016,PA,17,False,False,30578,31057,-1879,,1835,20763,3000,4800,180,19443,250,1250
Tim Murphy,R,2016,PA,18,True,True,1484901,1115206,1188615,,16009,489987,986158,0,-7254,447769,10550,58650
David Cicilline,D,2016,RI,01,True,True,1505338,895054,733171,,70715,1018661,426195,0,-10233,890829,1475,25405
Russ Taub,R,2016,RI,01,False,False,103111,87316,45829,,24366,75822,0,2924,0,74116,7178,1000
Jim Langevin,D,2016,RI,02,True,True,1139065,960472,640448,,42673,598910,513310,0,-15828,591832,800,750
Rhue Reis,R,2016,RI,02,False,False,7670,2834,10545,,1920,5750,0,0,0,4950,0,0
Tim Scott,R,2016,SC,S1,True,True,12794494,8969530,3879745,,407182,6498744,5460072,0,428492,7275831,168858,20150
Thomas Dixon,D,2016,SC,S1,False,False,40236,40462,601,,10357,25728,3650,0,13668,10870,0,1300
Bill Bledsoe,L,2016,SC,S1,False,False,1832,1757,0,,0,0,0,1832,0,0,0,0
Mark Sanford,R,2016,SC,01,True,True,741639,165336,1080640,,21794,467395,249450,0,3000,454609,5900,600
Dimitri Cherny,D,2016,SC,01,False,False,27562,26239,-7390,,20399,7162,0,0,0,3600,1850,0
Joe Wilson,R,2016,SC,02,True,True,1151887,743749,630802,,87657,416264,643050,0,4916,430213,3300,0
Arik Bjorn,D,2016,SC,02,False,False,70135,69864,271,,26696,22573,0,9405,11460,16728,0,200
